Time(fs),HBQ_dmso
2.74,0.00285
2.755,0.00264
2.77,0.00411
2.785,0.00366
2.8,0.00163
2.815,0.00148
2.83,0.00224
2.845,0.00234
2.86,0.00112
2.875,0.00301
2.89,0.00246
2.905,0.00483
2.92,0.00334
2.935,0.00174
2.95,0.00408
2.965,0.00273
2.98,0.00122
2.995,0.00329
3.01,0.00315
3.025,0.0029
3.04,0.00326
3.055,0.00197
3.07,0.00289
3.085,0.00276
3.1,0.0015
3.115,0.00255
3.13,0.00326
3.145,0.00116
3.16,0.0021
3.175,0.00338
3.19,0.00318
3.205,0.00195
3.22,0.00446
3.235,0.0021
3.25,0.00278
3.265,0.00203
3.28,0.0026
3.295,0.00271
3.31,0.00228
3.325,0.00225
3.34,0.00394
3.355,0.00246
3.37,0.00288
3.385,0.00386
3.4,0.00223
3.415,0.00185
3.43,0.00308
3.445,0.0043
3.46,0.00273
3.475,0.00335
3.49,0.00319
3.505,0.00183
3.52,0.00152
3.535,0.00238
3.55,0.00295
3.565,0.00239
3.58,0.0027
3.595,0.00328
3.61,0.00403
3.625,0.00349
3.64,0.00219
3.655,0.00336
3.67,0.00308
3.685,0.00234
3.7,0.00111
3.715,0.00288
3.73,0.00289
3.745,0.00119
3.76,0.00295
3.775,0.00373
3.79,9.09E-04
3.805,0.00175
3.82,0.00204
3.835,0.00285
3.85,0.00293
3.865,0.00163
3.88,0.00203
3.895,0.00332
3.91,0.00257
3.925,0.00236
3.94,0.00256
3.955,0.00229
3.97,8.70E-04
3.985,0.00329
4,0.00266
