11.477091808	11.931606444	11.857210226	10.722316951	11.677566337	12.103505628	11.789719028	11.999911616	10.349347318	10.959406273	11.716081498	11.028136650	12.128104101	10.183190744	11.621866364	12.853687126	11.879121826	11.441423059	12.438925544	10.930870935	11.740541002	12.252804255	11.187921879	12.943154659	10.035814653	12.126817265	12.368320562	12.328873067	11.814128676	11.276483978	11.990467594	12.467023168	11.829102957	11.624165007	10.281021055	12.468546285	11.658421329	11.210073933	11.512395603	11.164065731	12.756855950	9.502556806	11.918765443	11.788043934	12.816573078	11.559752540	11.207861599	12.906830077	10.676486957	12.052477846	10.363002373	12.311983979	12.326119922	12.450706848	12.617352169	12.067533034	11.972607625	11.992636630	12.259858948	12.014402132	12.863636007	13.699885718	11.254736377	11.723429015	11.600848976	11.489283544	12.773121242	12.475474931	12.348868185	20.871756084	13.034046326	13.136901530	11.425520787	12.725933912	12.846663679	12.178985047	14.075621880	12.533893443	12.204863247	10.738446928	13.155921968	13.971341519	12.966697827	11.462168780	12.099186048	10.581950518	11.937547927	11.758925258	13.708200009	12.305045364	11.898204601	13.129729547	24.238251345	13.989953105	14.121063857	12.551707196	12.103660019	12.578143622	15.060722212	12.932345323	13.159514743	11.323859677	12.588819795	12.471721549	12.188568912	11.366600018	11.864708725	11.259451697	11.982799120	12.561830916	10.678454661	12.602112217	10.584169616	10.807573102	12.444864261	11.694127854	13.178510208	12.665944956	12.029169094	11.178966541	10.925916738	10.258925653	11.590243197	11.098143443	10.513190368	11.428141767	10.952509975	13.041255439	10.059916460	10.864807426	11.879597993	11.962276565	11.485062763	11.719516658	12.008729989	11.659894138	12.810648979	10.757280832	10.882754405	11.987299677	12.132513292	10.807946945	12.254803222	10.899332757	12.127816761	11.847192055	12.107978003	13.034592670	11.527306185	12.617972592	12.508788829
13.084229848	12.345432231	12.557467898	11.805917879	11.991457397	13.124408597	12.620730101	13.320387655	13.615124537	12.407601938	12.471851134	13.577681479	13.690559307	14.276264118	12.320677372	12.729013229	13.268368248	11.111900982	12.563740516	11.495119737	12.154805343	13.285258026	11.304683038	13.339831750	13.116767741	12.123589161	11.239648436	12.909302886	12.434133535	13.548308628	12.181290506	12.214232467	13.523059244	11.580635177	13.131421950	10.533923075	11.228836435	12.167451199	12.219391775	11.404743830	12.644941497	12.423548022	13.400870618	15.218711901	13.363129586	12.013372179	11.971662669	12.462870107	13.455876265	11.977837278	10.939890864	13.071999530	12.129586501	12.271058996	11.492971062	13.466921690	12.039241394	12.137262101	12.670190897	14.521666154	13.151099351	13.710112024	14.898562740	13.205489370	13.574080321	14.338543803	15.385454892	13.753471554	15.522495894	21.983857714	13.646218998	14.049763649	12.964380105	13.782949502	12.218895782	13.570359113	13.356385376	13.428433575	13.048824398	12.677029254	12.991854480	13.755131274	13.861144005	14.700961969	14.081307905	13.307167507	11.432277538	12.619765642	12.503813560	12.649653646	12.811468978	12.619833676	24.723266350	11.612184475	13.490958439	12.241261571	14.150257877	13.576435319	11.443894760	14.548765090	13.625121629	12.387905473	12.246702298	12.558272255	13.046439973	10.614912324	11.746050271	12.058259251	12.531056370	11.045045509	13.376989137	12.936129032	10.911373919	14.429693711	13.258406900	12.694849031	11.997120867	12.716087798	12.993456006	13.629331857	11.416468700	11.960017567	11.395214306	12.771353677	13.970228084	11.445505492	14.306331155	13.278109121	12.517204322	11.943029749	11.556182481	13.517586749	10.941700420	12.105141240	13.142032959	12.618953197	11.531997646	12.707668885	12.485187183	14.250043417	11.909469113	12.824577887	11.100436792	13.850117602	12.071755163	11.920862792	12.222681350	11.962888743	12.715579405	12.999160812	12.483245337
11.745190290	12.612708038	12.170252689	12.421470496	12.889757895	12.255676895	11.295028852	13.113532990	12.225701525	11.833333333	12.033098294	12.043603441	12.608554896	12.509568055	12.152544731	11.620845081	12.348553262	10.994948335	11.848368596	11.596633960	11.777396601	11.909910142	13.598113357	12.130452538	12.213852047	12.364318163	11.159703845	12.585365078	11.582396954	11.951315383	12.734788906	12.592831053	11.528493467	12.573866598	11.899320921	11.108900790	11.829786067	12.383420001	11.368372750	12.796085260	12.435120515	12.242247598	14.168538201	13.933550817	12.815280494	11.776127195	12.928220639	11.028754886	14.104716598	11.058960442	12.007977147	10.720508054	13.219250579	12.435433245	10.820836615	10.819226246	13.020900060	12.303813977	12.396415252	14.672350827	14.300328456	14.018382592	13.585564977	12.388427314	13.291981330	14.898237303	14.603483049	14.069294599	14.280802258	21.209155637	12.664290048	14.813926699	12.185813079	12.255244188	10.956645509	13.344461265	13.163597648	15.532227819	12.665370747	12.547219902	12.491851890	12.153163948	11.752498123	12.038557583	12.586167652	11.809989779	12.109245987	12.044094072	13.984060190	12.334004896	11.871683482	11.763562987	25.178175173	13.431396958	14.195830943	11.133714383	11.542560681	11.770958098	12.776572627	15.539457760	13.187750668	13.130410381	11.511101361	12.448990872	11.950313803	12.325960122	12.429433136	12.783654336	10.935305624	13.728404529	12.964516453	12.102570893	10.631433287	12.166836861	12.240597298	13.059135121	11.272900373	12.183193425	11.995470526	11.852711406	11.308042190	11.229578547	11.988424552	10.607392124	12.699713669	13.046676112	12.700413578	12.804588035	13.415790485	11.823324833	12.890196729	13.110543987	12.448098309	12.942764446	12.937706227	12.374933935	12.117788911	11.900000000	11.974653366	10.719240701	12.569789018	13.408334510	11.899830234	13.616459885	13.721044811	14.237821306	11.411012756	9.225327456	10.826939838	12.469939612	12.933126365
11.613019514	12.245877476	10.585314775	10.430583431	11.833440034	12.336707155	11.674244292	10.636149527	13.093124111	13.560846790	12.024369195	10.996767202	11.422196184	10.463650405	11.136884754	11.782695752	11.841013300	11.188359752	11.695531392	11.897559380	11.490334102	12.293449023	12.679817734	10.640474471	11.599129191	12.611458634	13.461576446	12.316548775	12.114249894	11.130338919	12.413136574	11.749214459	11.735859749	11.294814221	11.423257332	12.107865379	12.445777346	11.928113807	12.660839968	12.506547780	10.958526038	10.645219917	11.092922487	11.573546116	13.278675850	11.333738852	13.787987013	13.765639407	12.107665157	12.016083498	12.478421779	13.005888332	12.390922060	11.450005514	12.253731652	11.330351658	10.978233745	10.797661550	12.099465720	13.095931977	11.201456435	13.452587900	11.991053062	12.128503867	13.107881814	13.583635431	14.663536167	12.513503817	12.423743153	21.982479249	11.896774030	14.620160427	12.672821471	12.499955555	12.709957919	11.592138576	12.174069977	13.505569371	13.434506303	11.997217691	12.199101639	13.531896475	11.584454927	12.987371489	11.570333887	10.669862211	12.822309315	11.739616087	12.365984625	12.380577001	12.626455312	15.512132756	29.942072019	13.633777869	13.960608363	11.802653357	13.732932474	11.783124382	12.532785288	14.871788763	13.449358815	12.140902567	11.833333333	12.935488730	12.240927376	11.761411823	11.895041833	11.324466228	12.312640298	12.276490631	12.244660762	11.926115135	11.045045509	10.871494559	11.044130943	12.957412761	12.783271107	11.360124306	10.844930855	12.788346968	11.465909066	13.264896334	12.459789871	12.343566598	11.427465585	12.006980293	12.367581441	12.336735812	10.647236090	12.345612233	12.147556598	11.296732342	10.606154112	11.372037299	10.473709269	12.967075634	11.535325629	13.240266102	12.559237415	11.415650253	11.239468696	13.078515809	13.053344322	13.572770572	11.518149929	12.449266742	11.702002764	11.206829628	12.682840551	12.921284609	13.168312133
12.231979118	12.043737633	10.707384406	13.097520777	11.883589398	13.851576142	11.152111726	11.641722251	10.193377727	12.486319787	11.808142200	11.462803260	12.070901651	12.118205688	13.144941801	12.190507982	11.329638435	14.051909536	12.269021513	11.220922017	12.517866020	13.760942386	12.952200390	11.610409819	12.126538224	12.177056585	12.875644536	12.275770666	12.996891625	11.159862242	12.227188614	13.976444831	12.144629274	11.078831394	12.246009451	13.347961672	11.554543468	12.887935789	11.612162728	12.447428845	12.173178000	12.186612957	11.682132606	11.632573562	12.434734668	11.518540171	11.510276480	12.224379516	11.269315629	11.494131133	10.976853517	13.061698963	11.068199967	12.585429286	13.524388744	11.817637905	12.114516711	12.590023307	12.613829191	13.030946073	13.608954271	13.178720988	13.304893912	13.694635092	12.393754537	12.832483246	14.409088041	12.997995183	12.055846480	22.202581977	13.273391778	12.813345316	11.259702886	13.888629897	12.801515062	12.202003478	12.044844658	13.326403502	14.093841337	12.246112556	11.878696660	13.631258640	11.823294931	11.664930607	13.920042233	10.545600835	11.651587658	12.405538027	12.373852360	12.703181022	12.977412389	13.167648602	28.509725436	12.844725365	12.984201745	11.498985462	12.531318342	12.798086189	12.532930361	14.387406811	13.388386344	11.442658976	12.678399670	10.690669017	11.165947512	12.897306116	12.485834398	13.287721225	12.042450168	12.504136689	12.358659500	13.252249666	11.762270618	11.966282597	11.617402481	12.223111079	11.106481864	10.921464363	11.818573809	12.343959386	12.971219112	11.077322362	11.729286492	12.707335033	13.075986163	12.859599252	11.832910791	13.302616132	11.433863403	10.739730824	12.461411143	12.177222486	10.509615607	12.181501956	12.705061427	13.412642913	10.986948180	13.643350399	13.244995243	12.134415536	12.784851358	11.544748248	12.553465456	12.547284305	11.418835229	13.010097089	11.668553960	13.501107325	12.424169992	14.397670968	13.464641312
12.199122340	11.754814187	11.404517978	12.232078212	11.810845042	11.178709020	11.368372750	10.567703802	12.889585491	10.269160461	11.448629224	11.538582620	11.632347792	9.935732881	11.881672501	12.131701522	12.950628860	13.436735414	13.532195056	12.193138491	11.825686817	11.811221338	13.778078768	13.059289816	11.355499713	11.460335638	12.538180075	11.591986086	11.826058370	11.927067934	11.658139741	10.858776649	10.983454039	11.657762836	12.763089933	12.677264307	10.661338631	12.010479431	12.416716494	12.639024863	12.095791905	12.126088413	12.811811943	12.274515769	11.760999580	11.582396954	13.918300575	13.560083281	13.253834970	13.214485471	13.900439641	13.386258596	12.120085175	10.815252978	11.063562909	12.464134405	11.579344201	12.708364381	11.601441046	13.804566658	11.880597033	14.458896810	11.767426364	12.921405778	11.256760034	13.347341127	13.210995573	13.188700398	12.155972884	21.823486098	12.576248256	12.468546285	12.748158908	12.405700873	12.688482012	13.362906597	10.569997563	14.062429349	11.979490048	12.726632379	12.770780253	12.393135115	11.901549004	11.799246680	13.099633737	12.467719936	11.991006731	12.880472261	13.746106887	14.751736758	13.637233642	13.935910303	27.664065230	12.574449001	12.736268105	11.694818848	11.209285473	12.616051184	11.991849084	13.948317302	11.334598860	12.676148764	11.867428474	13.414792830	12.766369963	9.324774214	10.567125504	12.166899126	13.942682089	13.164272893	12.659583346	12.985691426	12.201088708	12.116017447	10.351401603	12.412420466	12.026133160	11.509376941	12.521089280	11.455826448	10.752965295	10.640398527	11.320848739	11.295104866	11.036010844	12.768090751	12.468995893	11.346066822	11.712425415	11.453904103	11.703107590	11.275807660	12.743225572	10.999008220	11.515224880	13.277154374	12.555730311	11.879338655	11.990299109	10.171260760	10.215931310	12.452134619	13.391128527	11.250068462	13.636296633	13.269787968	12.220185322	11.124638230	11.733793896	11.355143897	13.543181967
12.364677615	14.352545264	11.297626460	12.650963153	11.849267974	11.030806266	13.022199383	13.032093253	12.812147014	11.766838354	11.439414409	10.901816177	11.949265647	12.781204635	11.175455610	12.725398130	11.996817760	11.442517735	12.568499183	11.456880073	11.533609210	11.688805834	11.988458254	14.631003473	13.371913880	10.633167093	13.005810667	11.777649609	11.676943526	11.950956177	11.170573717	10.366393838	11.495326235	12.838247780	10.151896872	11.188427463	11.834186909	11.310690393	12.978657695	13.644175877	12.726160125	12.580472282	11.288767099	12.691108794	12.535912049	11.942365805	11.332883235	12.005049443	11.554224379	11.071024151	11.744313045	11.307564287	11.956735982	12.337247536	12.371995095	12.838641169	12.930626865	13.051765622	13.125978559	14.340938786	12.964173633	15.339998551	13.312119488	13.840447240	10.766408666	13.611581521	12.881664206	12.089644120	12.087438174	19.511123479	14.225013536	12.879017467	11.882467349	12.951701265	12.833415978	12.307585737	11.813859349	13.971728308	13.416900996	12.924817565	11.831045447	13.216835759	11.352319213	13.360200204	13.853767310	12.145348696	10.890061264	13.352955259	13.363341232	12.585365078	13.736833917	12.415370077	31.495768515	12.329139336	15.322248958	13.195878604	14.494230827	12.098434660	14.565279734	13.771332396	13.817190289	12.719868337	12.064117427	12.147556598	12.611438611	11.503692863	11.647078794	12.391178843	13.925791782	12.828861874	11.105458663	12.286627370	12.027657522	12.968691904	12.213136660	11.322075514	11.589698491	11.764249902	13.278565549	14.882227893	12.845700456	11.300393307	11.002639720	10.168931690	11.150558259	10.064358555	10.477850616	12.521093314	14.576153211	12.630426627	10.953579739	11.198173552	11.556077591	11.939426242	10.839396904	11.999814813	11.967903203	13.029554594	11.355344045	11.875664787	12.265991418	12.890412223	11.623747896	11.310386752	12.641965548	12.613909270	12.044345670	12.009743519	12.921675471	11.646666840	13.172710542
13.201235785	11.770962389	11.748629836	12.162946712	11.171229280	12.001224685	13.015061205	12.424739088	12.929318340	11.775784089	11.911644417	11.784101599	10.395662460	11.997895438	12.154826119	12.194265087	11.419706519	13.017047874	12.529141788	11.827766510	9.852016150	11.929163822	11.401980158	11.397656147	10.535610609	10.615307225	12.515570101	12.511667282	13.238312932	12.028820609	11.281002176	12.026616106	12.353918121	11.213267755	11.973923688	11.357243050	12.695226972	11.869475323	13.554122710	11.545063224	10.712194505	10.249074854	12.249906205	14.326792024	10.657548186	10.111874208	11.458361157	12.583695560	12.578256050	11.478235883	11.870900675	11.626771615	12.236437555	13.381111367	11.504518217	12.318578398	13.032093253	12.612627951	13.554510226	14.808989217	12.770309631	12.716246667	13.461129975	13.875619924	12.052561654	13.237423992	11.275588184	12.895868887	13.719572394	18.857410193	12.152465768	14.287308064	10.623639545	12.658833304	12.278234829	12.689469109	11.608995989	14.281056889	12.298784534	10.841647160	12.666582934	12.803136453	11.568727438	11.203404064	12.501458501	11.091989101	13.578276620	11.888926178	11.058174909	12.761918573	11.911712257	13.239503180	26.971222974	10.871234400	14.383281541	12.716882122	13.594484176	12.623531018	12.740312224	14.150971698	11.265393509	10.957604250	11.351927705	11.924238959	12.597354220	12.440468340	13.383707871	12.088879605	12.429270601	11.390337922	12.327369565	11.711584526	11.957905969	10.849028258	10.666188436	11.883508648	11.001978702	11.125655128	13.031194120	12.048466938	12.484054476	10.438172951	11.792528879	13.589568192	11.808214911	11.954137951	11.235315894	12.216828929	12.602304583	12.022180679	12.325431539	12.645480688	13.195714027	10.175723735	12.855121214	10.056828425	11.970076327	10.526369006	11.343916627	12.968785369	12.990668757	12.690452149	12.399592695	10.787665984	11.348492535	10.911841404	10.873835709	11.578297357	11.016406498	11.713632738	14.372993053
11.499653047	11.209501742	10.916135772	12.375484890	12.702644281	12.807258043	10.822927403	13.552930281	13.602357936	14.173442230	11.123961761	13.293364335	11.714012157	12.923238797	12.038758955	13.356264372	11.948864111	14.077975492	13.741756023	13.486615138	13.000776978	11.202790958	11.578886218	12.666168252	12.027896866	10.526426581	11.000918235	12.773595714	12.083463949	11.677220335	14.229873258	12.038171612	12.923238797	12.174202730	12.114516711	12.511634989	12.223090419	11.557305617	13.138189381	11.345109746	11.580914288	11.352942038	12.870367657	12.218862716	11.766670959	12.031520051	11.668242318	12.454438177	10.300220651	11.625225098	11.642533481	12.074595587	11.312257587	12.160787288	10.477489097	13.260787490	14.464652143	12.881919049	12.683700668	13.347280584	14.817662815	12.851113225	13.091503915	12.022705791	12.605414101	11.078685514	13.658678375	13.306032656	14.272046564	19.815744684	13.742494738	14.569967035	10.600476452	11.422801935	11.979291897	12.097495358	13.080944580	14.549518372	13.118307818	12.354183849	13.069804818	11.722114988	11.021828663	11.946391197	13.985215859	12.517640078	11.154724505	13.773708669	12.274351183	13.697172163	10.802337944	12.389307870	23.785455194	13.954833347	13.844194349	14.197378475	13.668676866	10.802632489	13.112781951	14.471186977	13.647273750	11.389216058	12.501713014	12.518797987	11.898408348	12.096263719	12.339703515	12.196120430	13.250847124	13.642399001	12.299708463	11.742949744	11.126322416	12.308098672	11.502024416	13.067717954	13.437457071	12.626907297	12.144230039	12.908316949	13.136716992	10.475001507	13.695575485	12.940594650	11.418835229	12.508304312	12.720503611	11.622444326	11.313436188	13.047585790	12.007152750	11.904094873	11.889457175	12.816986834	13.350061476	12.974142894	11.383773673	13.006463040	11.687941641	12.608843297	12.996794477	14.205913550	11.511132074	11.745942777	12.655497468	12.752595299	12.410064342	12.697665418	13.356385376	11.898493241	12.441929760
13.041054057	11.114645902	11.561849490	13.092410478	12.186496915	12.147789424	12.619765642	11.897283452	11.377858171	11.786038650	11.996312565	10.925070788	11.905600923	14.513233251	12.220135726	11.052839116	12.643615389	12.086803055	13.153986990	10.972780832	10.573165003	12.396790070	11.675836223	10.707662696	12.646570981	12.653018963	10.676605218	11.677380362	11.472104947	12.604388365	10.493114626	11.627427519	11.584886532	11.864793860	11.166978738	12.438535755	10.924922855	12.369312794	11.267092515	12.147893362	12.051505627	11.846561109	10.773494411	12.362847568	12.902317543	11.818813114	12.472754145	12.678921504	12.801972702	13.737069218	13.168875917	13.807021344	12.061056791	12.262136845	13.338090061	12.824672402	11.204666236	11.118621199	12.364105755	13.918434836	12.767046438	13.988490940	14.133905077	12.294352814	12.161451767	14.848252627	13.473265710	13.256429734	12.487614066	20.614342364	12.202649158	14.532370694	11.898713962	14.661307561	11.344896062	13.735874287	13.220167483	13.735962531	13.631051154	12.589878892	13.443484397	13.066944957	13.133391017	11.333667553	12.830090106	12.604548642	12.515670985	13.764336878	12.046358266	12.514896175	12.181307090	12.857144380	28.504706328	13.305558192	14.548782448	12.859815259	13.616330065	11.951294254	12.547650591	13.980809358	13.551860732	10.500774382	13.156463250	11.223730272	14.843598763	11.252384708	12.276593480	12.788094210	12.423385410	11.668740075	11.563312761	10.344568672	12.042898909	12.118755812	13.203825586	11.023844679	12.043171501	11.799927238	12.099465720	11.702266033	12.407166388	11.073542041	11.958024228	12.310035325	12.359346032	12.178018780	12.180875887	12.683700668	11.261106751	11.667896039	13.887484373	12.551192144	13.180564204	12.281216667	11.316832908	10.631661311	13.604084354	12.601651327	10.609239350	11.444093355	11.874529230	11.932893169	13.127544486	11.421687682	12.145232261	11.271220166	12.290996130	11.259563836	12.593452684	11.397230746	13.127482930
