12.177454744	12.458594048	11.433050619	13.090496977	11.774823338	12.733888612	12.535621970	12.281858182	10.153065915	12.817581833	11.315900139
12.257386971	12.242742645	12.201717879	12.937593019	12.571809895	11.750280461	14.026162423	15.276574792	12.188320291	12.328250386	13.585267570
12.152332777	12.343480674	11.937797540	11.234196532	11.208632135	12.194550861	12.525444810	11.397128825	11.665415517	10.409683720	12.587889001
12.390351411	11.980185662	12.485543155	12.187441790	11.274620646	12.370280449	12.341913477	13.686002582	12.476478880	11.547333419	11.464041278
12.873192724	12.655892547	10.203638686	10.330283030	12.199896506	12.198708327	12.521109448	11.386022798	11.367613042	11.939828095	12.557343218
10.673217685	12.262680512	12.055138474	14.593702807	13.094975519	11.055648951	12.566606382	12.770720932	12.394439125	12.005297652	12.400130335
13.117202831	12.508304312	11.695958898	13.365336592	12.572617352	12.472592175	13.557941502	13.236386183	12.432866187	12.678921504	12.690483988
13.210383886	13.131133488	12.457102149	11.215069228	12.244854619	13.832603121	12.728600580	12.217601973	10.958986903	11.819535276	12.365380150
14.087031073	11.900700260	12.254255085	11.108082415	12.048454363	11.198015697	14.094124430	13.424577942	12.448175397	11.354952642	12.397458195
11.713218812	11.817398575	12.472693406	11.798150857	12.658733560	11.634605296	13.355568581	13.095160645	12.893988890	11.802824521	12.880472261
12.236293094	13.573220813	14.028455929	13.007472600	12.834155818	12.925157522	13.093293834	13.356234121	13.370142373	13.989241898	11.699827332
13.442492554	13.569633359	11.488843952	11.308368225	12.786119368	14.043496644	12.951564782	12.432975866	13.066249220	13.142617085	13.184820626
13.414525521	11.196188926	14.163300848	12.963581467	12.590564850	14.274972802	11.647169856	12.453270229	13.763456226	11.560748639	15.565083301
11.424495215	12.707271441	13.520575417	12.885741082	12.918532612	12.510020226	13.216224342	13.401564058	13.481015458	13.333405303	12.843781658
11.939828095	12.459789871	12.934375934	13.147258423	12.077008794	11.791265386	12.719888190	10.730566178	12.908297386	12.038557583	13.012111685
12.950796551	13.824568234	11.819736106	12.511069846	14.203371345	12.547429211	12.625495290	14.384180424	13.533837130	10.796085149	14.820801652
12.753494273	11.734758006	12.277148848	12.896084286	12.858087107	11.435630125	12.002604936	12.195727021	13.495300342	11.847840020	11.544748248
13.258193579	11.437913209	14.683224125	13.509334595	13.073911875	12.788236387	12.744672089	12.468044001	12.477612275	14.776513578	13.891975011
11.287693307	13.610939599	12.276688100	14.211600753	11.946425018	12.790980882	13.241879539	13.076526892	12.666965706	12.867624395	12.224747214
11.896604218	11.887791887	13.585862378	12.218098019	11.066940486	12.852842314	13.157825954	14.087389590	11.685590713	13.372952501	13.885574958
14.153202158	12.542066590	15.454187756	12.263813074	12.572259828	12.523476943	13.125562999	12.298246570	14.154643740	13.502753180	11.526951291
14.294517562	13.913771247	12.010365893	11.280066444	14.077057056	12.923625691	13.920408679	11.897474479	12.916577712	12.523448713	13.740215986
13.174090734	11.441882130	11.916082842	12.911994267	14.167910819	13.170152972	14.471134626	13.163843196	12.311491716	13.392535234	13.620335361
13.477718237	12.918747633	12.751137798	11.146820899	11.336826556	12.954793193	13.796775352	11.753679845	11.898777630	12.775228556	13.306397034
13.380205491	13.291206176	13.023192211	14.016509025	14.713599152	14.124854518	14.145220844	14.258830332	14.315704451	14.567887058	13.332136310
12.698667710	13.563986036	14.404811205	12.413169123	13.377819725	12.917985270	13.653859483	12.451680346	13.169980404	11.709083067	13.028329660
13.075090049	13.873202859	13.904475698	12.905949611	13.815976698	13.194194469	13.645719350	15.259042691	14.221906562	13.590322612	12.925098909
11.748522366	11.893789229	11.038678555	11.805905045	12.602208400	12.476543649	13.685220222	11.611401572	13.760120243	12.754951504	12.047112903
12.354506805	12.973773078	14.001915453	12.400305470	11.206852161	14.234330389	12.456287204	12.106009026	13.140772389	13.720511078	11.729028136
11.369212369	11.756811909	12.404019388	15.358201178	12.793191845	12.423580544	12.490497398	12.298887196	12.153828843	13.735363192	13.291126378
12.202876793	13.573871960	14.126113079	12.820580046	11.611123194	12.007485039	13.366534421	12.709572468	11.508007752	12.364869591	12.605991040
12.158793634	11.952173210	14.430645701	13.004035893	13.434656676	10.558518989	13.647432881	13.365778705	11.544638880	14.222684257	13.310355200
13.222646628	11.295744260	13.128102327	13.973550050	12.465204095	12.411041028	12.575955092	11.919845942	13.915978027	13.234218732	13.165224317
13.056501148	14.614770445	12.549614667	13.269829835	12.757473547	15.188126676	12.434815900	11.730492080	12.723651722	12.322480893	12.560142185
12.518124234	11.715482289	11.153886853	12.915044864	12.277778235	11.884120634	11.974935946	12.249836115	11.301465892	12.821458497	11.630610952
12.086602484	12.879001781	13.488382581	12.702226799	15.418010588	12.647749031	14.134634017	13.144480733	12.729175904	12.741009902	14.476731592
15.393413258	13.643868642	14.011809593	13.212371766	13.314061830	13.886276926	13.802268881	14.492948477	14.620654409	15.336215144	15.128737121
11.913848999	11.771391446	13.323674532	12.806548199	10.920701313	12.826991743	12.596660612	13.075754416	13.554812035	13.461640226	13.802224971
12.425531714	12.647768997	13.397040982	13.671558622	12.113516117	12.138094304	12.472754145	12.902885121	14.433756730	13.011459596	13.358381775
13.091268584	11.894702157	12.531721366	13.359655835	12.759611153	11.408533931	14.658551474	15.790612222	13.564376994	13.134652295	13.308066969
14.555515460	12.447400443	12.369088222	12.983046443	12.074428276	12.552177967	14.369144833	15.857557227	13.809000139	13.635352151	13.978280410
13.503086067	13.821648954	12.575826579	13.602120304	13.338090061	14.571883817	12.535601826	12.643375716	13.076507581	12.971526705	13.563602513
12.651390310	12.752258663	13.138466156	12.935656617	14.390579831	14.930394056	13.418651274	13.480532166	12.251056438	13.865719665	12.828357949
14.595900213	15.570121607	13.409494601	13.619786557	12.937128465	14.048527009	12.873573276	14.222172901	13.075580602	13.820143401	12.109200109
12.809403112	13.539090431	12.330839224	13.096672413	13.545150834	12.218759381	13.856300758	13.513222107	13.038943224	11.694667696	12.773912020
12.145897591	13.455500922	13.051487008	14.736459287	13.342890514	13.888502621	13.591500612	13.300000000	14.826522100	13.256791665	12.416488711
13.439727029	13.497006776	13.345490670	13.329635851	14.124908152	13.086750181	11.989132284	12.073926328	13.183644597	13.692506983	14.600051889
13.922625289	11.946932323	12.171713358	13.494615462	14.458802499	12.886023279	13.762942485	12.746162029	13.595914419	12.593713359	13.309262363
13.558701407	13.759914699	13.080461951	13.693362692	11.821616051	14.891781341	14.357625644	13.054663627	13.613759380	14.449438142	11.949299460
14.324436985	13.541298596	13.023905759	13.192881460	13.669460173	14.697337078	14.302712182	13.403523583	13.412985567	12.874750169	12.547026691
12.926751684	12.958749628	12.211784340	12.675037107	11.455927847	11.678673475	12.195859539	13.223028581	12.529476357	12.697585868	11.874665333
15.141754432	13.221420483	15.243726976	14.131171218	12.170406233	15.433045354	13.361375814	13.915342888	14.219985225	12.144961960	12.609215806
14.293941642	12.517506932	11.689657001	13.160378245	12.042164979	11.246799769	12.912584888	13.104475294	11.771267021	12.194762081	13.414540581
13.740344636	12.514008312	12.214000908	13.591630669	11.107423125	14.300310797	13.958452057	14.545296716	13.910667370	12.247927056	13.306412216
13.130979638	13.049319809	12.632905566	12.678606813	12.402687881	11.009064218	12.010311227	13.019375615	13.325209646	12.648355984	12.791612625
13.080709059	13.264976289	12.854681182	12.975108259	13.017253508	11.644268543	13.389970617	12.741866092	12.061291286	13.230115630	12.265579662
13.814276761	14.114252414	11.983705267	14.152028088	13.374463078	13.312935154	13.763426869	13.125420628	13.476695186	12.961555431	13.586609570
13.763603005	12.232115372	12.420653214	14.929274340	13.707164683	13.021675791	14.858453364	13.473895450	11.412428986	12.225176870	12.199830269
13.860120104	12.269774804	13.013477862	12.688959649	12.921093083	13.488112986	14.588895043	12.050612961	13.909069783	14.564031382	13.255134321
12.083062693	14.064224978	13.272588902	13.648709563	11.143413147	12.999129730	11.452470952	11.975981856	11.066721431	12.914931457	12.888817485
13.309159905	11.326004761	13.313542130	13.227992969	12.470960207	13.942663977	13.525135597	13.087413955	12.786056168	12.318545598	11.257033716
12.855435513	14.690050230	13.069681161	13.943305117	11.991895411	14.314025050	12.479522621	12.198277739	12.414926663	13.094512691	11.776384518
14.768872535	13.078670275	13.407053774	14.142889137	13.640240526	13.437081213	13.719303661	14.005666242	13.106629520	13.657587524	13.583843642
12.761700909	12.354735730	14.268744539	14.039425008	13.479262037	13.733756245	13.069893696	12.811023504	12.785957417	13.951210077	11.862082022
