10.946938136	9.907955175	11.604927550	11.983574617	11.728683652	11.343003896	11.164355256	12.204883937	10.335894111	12.563069174	10.733220402	12.884173206	11.886517275	10.808241337	10.098004603	11.940509100	11.794091998	11.719322730	12.320119867	11.328430312	12.945023614
12.099799648	12.705681542	11.575570758	12.516429607	14.574347881	12.490072826	13.118742857	11.860962197	12.039207833	13.711673858	12.725108402	12.495150574	11.881311188	11.947169057	14.183444610	12.962802260	11.572241256	11.136340548	11.872657664	12.430310787	11.197059499
10.565409542	12.771412995	11.620254000	11.434927886	12.710971162	11.502634744	12.221011878	12.421210273	12.848059241	12.387693470	13.103411538	11.162961846	12.476543649	10.682653739	11.623800036	12.754971303	12.048303456	13.117957466	11.749489566	11.758512927	12.976669041
10.155055466	11.370633805	11.967059165	11.720499179	12.566184381	11.754539205	11.589837938	11.955033596	12.505267577	12.584658770	12.760513590	11.544450764	10.821863392	12.079467511	12.007472421	11.588900995	13.121387430	11.578018183	12.415516522	11.987940068	12.344892208
10.982423975	12.025305809	11.589633124	12.384839217	12.651262563	12.403974599	12.151447517	11.312815652	10.773611608	11.024600591	11.687617552	13.159361226	12.228378156	13.927605028	12.959860331	11.745173090	12.454701761	12.307717050	11.657138967	12.942963456	12.391166616
12.486178217	13.044984330	11.570683086	15.210363293	12.171983064	12.274898424	11.354574569	12.411378780	13.369870394	12.764755771	10.706724027	10.911855289	12.066227181	10.692445176	12.391667940	13.801024702	11.505725408	11.320933502	11.540337687	12.850735938	12.511308016
13.511009353	11.531577200	11.593009911	14.288156429	11.985256094	10.915173388	12.116751073	12.282680588	11.505483980	12.022134468	11.686731663	11.456549448	11.337481416	11.735687608	12.832924039	12.530669446	12.100822244	11.364769236	12.619893707	12.111435451	12.169887494
12.304597974	12.444722219	12.663077641	12.680610348	11.739168659	12.780603991	12.170987195	10.993455353	12.810708116	11.989469285	11.347028268	13.394933461	13.370463452	12.949548567	12.254288056	11.139025038	11.151205941	11.941338097	12.074700155	12.292771137	13.191897575
12.843341237	11.288230216	13.189129286	12.575730193	12.543999330	12.140902567	13.308309852	12.228840724	12.101773808	11.827309606	11.551710705	11.391561647	12.117672210	12.283453599	12.362308307	11.548125039	13.673431437	12.784977769	10.638580448	12.346446755	12.070914203
13.634074219	13.830883317	10.416939390	13.534374493	11.854722453	11.494838543	11.300415653	12.504447694	11.861468899	12.467213568	11.217752885	12.545074288	12.051053016	11.610618616	10.658500662	11.684449651	11.930518544	11.411778427	12.579669344	12.455249188	13.300182273
13.111869093	12.622774831	11.722808641	12.170489229	12.479878755	12.368953476	11.955046270	11.458506610	11.483721461	12.507775360	12.137328680	11.498598948	10.185605807	11.600570345	10.848241490	10.684757386	11.446299742	12.462837688	12.319890299	12.899279598	12.561842977
11.489032979	12.277017208	11.362600357	12.841201838	11.963901934	12.767161158	12.213335153	12.296386100	13.296232473	12.170883454	11.869509363	12.626967293	12.219474439	10.908249126	13.289971156	13.085866383	13.300717684	13.748575684	11.577036658	12.876648664	12.293892711
11.918223039	11.843678790	11.930167178	13.014440309	13.954312175	12.524577857	13.536617007	14.959943148	12.721174585	13.093521414	12.478713188	11.982626312	14.449840096	13.943406537	12.898202835	12.543661122	13.730214415	12.306588529	13.089219869	13.824206555	12.846612571
13.056922774	13.658149600	12.598123958	12.682999836	12.900160519	13.941070057	14.044931506	14.589327772	13.588096395	12.803483585	11.231431365	14.831971337	11.695198877	14.573987482	13.543659294	12.044576297	14.185367336	13.305637903	12.882922687	12.187503950	15.031344355
12.354572212	12.717104524	13.077156426	12.203241000	14.159852193	12.320119867	14.835593971	13.134025516	13.299031635	12.893111464	11.787238434	13.363976152	13.684537466	11.657572213	12.802951049	12.342748249	10.746876455	12.677363904	11.540578386	11.782901497	14.463971261
13.112855131	12.164773618	14.215882425	14.620709679	12.703021990	11.298927275	14.434453032	13.735171986	15.123277930	15.091890257	13.106802922	13.095341912	13.240781051	13.410665889	12.229600620	13.107943463	12.711638666	14.324606223	13.945550683	12.367128146	13.138804429
12.248124985	9.688371662	11.920083214	12.644542081	13.057619007	13.940044781	13.051088426	12.874981612	12.128104101	12.924532307	12.643914974	13.145049381	14.602255257	12.984839645	12.958656091	12.923926601	13.486165751	12.889836259	11.437714506	10.743210212	13.198787058
13.165347076	12.819945792	12.930443288	13.936258211	13.810912828	13.628179362	13.538333156	13.249798931	12.885239382	13.611062049	14.734207433	15.270437539	13.657705858	12.673439178	13.103546440	11.450181949	15.800447507	13.932082733	11.260779348	13.271919167	13.699882031
12.112869857	11.958999823	12.220115062	13.923582930	12.691856930	11.334224564	11.661661264	13.165366257	11.930315345	13.593860022	13.651843402	10.891401483	11.487696537	13.086638262	12.079179014	12.500650488	12.120589378	13.672932784	11.653494729	11.468463566	13.234554558
10.884443537	12.862516995	13.542521884	13.719027559	12.366993380	11.951125216	13.668407132	12.367258828	10.865918361	11.746910189	12.201606120	12.862642643	13.414736357	12.319398352	13.072694961	14.030741861	12.504039751	12.666666667	12.176314149	11.949705207	12.433138353
11.289303957	12.451355855	12.222991252	13.363794749	12.051555916	11.685162827	15.793695200	11.109900944	12.603747238	13.553854422	13.241440918	11.979932716	11.771236987	12.468347804	12.499034306	10.777904821	12.740974227	11.226321883	12.514601573	13.312024639	12.742214894
13.140956871	12.583057392	13.731185475	12.260946459	13.235745143	14.156998483	12.559740073	14.463733818	14.427611015	13.971992186	13.431366876	14.822178305	13.122649862	12.985601972	11.599129191	12.491366716	11.798715903	13.158931368	12.338017129	13.640832938	13.191131854
14.394597752	14.227853604	13.190691545	12.502165469	11.945207399	14.686003094	14.563882266	12.755208879	12.342236754	11.986065141	13.148610558	12.867561596	12.533893443	14.057871011	13.443375448	13.028992535	12.783101219	12.418721612	12.378096490	13.663824538	13.341190867
10.633452075	13.195694890	13.495887889	13.483248117	11.543728894	12.626107312	12.318381600	14.288156429	12.341680222	13.767242632	12.234786471	12.377280425	12.452815997	13.244686375	10.590042016	12.928255798	11.967987603	12.042093680	12.365004381	13.874240356	12.630794500
12.610865926	13.047403860	12.440480519	12.564677119	13.433754411	12.443001359	15.233121144	15.311908616	13.422429592	12.979467079	12.155968730	13.919606839	12.565400627	12.542871934	14.241960341	12.340599825	13.245163020	13.552650790	12.454782863	12.307388764	12.233007179
12.608222425	12.742718261	15.272263100	11.565029139	11.934010477	12.195689750	13.046134146	12.154294249	12.101690340	11.030403346	11.642359961	12.654699291	14.386704721	12.111648121	11.043074524	13.047585790	13.299289872	11.718499576	11.362778149	13.486135791	11.217518766
