11.882182570	15.858910760	16.057003884	31.916461349	64.183861529	106.896991387	125.863223823	157.795688128	207.430310556	284.356537296	238.234696902	172.129465898	191.567339480	186.233218619	209.219465991	605.349699085	168.489625614	220.537469044	261.842186066	180.567859596	269.240980266	153.241084240	237.073412957	328.306975715	247.330698957	252.869635236	196.216726961	148.306947262	179.895845006	524.226086626	119.021845037	135.990121448	163.667235696	176.843450714	136.736527230	216.416671392	195.780095923	140.798408795	230.815686668	194.951227001	169.332825995	169.993966322	253.673943869	120.805817557	196.222476034	120.105036522	140.220209209	167.988827190	128.985816697	128.005704971	125.075661546	140.082596126	234.618155067	200.889606098	130.489310681	75.912146857	62.982982310	73.286383731	70.079904611	81.437421597	59.403686584	62.122781651	45.408600618	48.439331002	41.201127767	38.221808783	36.636411760	21.930125491	21.426734457	17.884983261	22.978786880	30.848504048	20.746580587	18.430047929	11.420785587	12.064222086	12.688891985	12.748044017	12.226003088	12.655002604	11.788862232	12.445351248	11.588652583	10.195517930	9.833646631	12.751149681	11.035566926	13.209516007	11.509767481	10.579931450	12.371925697	12.709953945	12.284057994	13.123419578	11.763666027	13.244156325	10.761036149	10.563607243	10.558021509	12.250236032	10.912433831
12.300525570	13.618852056	16.532783471	23.480195825	35.830149260	73.929845943	105.206276938	146.772321105	213.975664386	283.562570189	238.675211249	171.741961716	188.231066629	185.391718512	211.073261253	612.907337156	167.715787732	220.291068013	264.963058984	179.320005137	273.954247452	155.836569080	240.919655495	338.261444968	251.484209196	259.207566879	204.468480444	147.916922834	177.564733963	537.342873346	123.339119848	137.221085343	166.243098133	187.522502084	136.220885686	230.669809928	202.691140867	137.878175989	240.069182790	206.898301031	168.388097602	175.892624213	268.187010736	124.108161934	203.055298235	129.274996215	142.135733606	174.972339517	144.210984605	138.001601513	127.916282597	135.215821126	259.657644843	228.234877026	125.916029018	80.828565308	93.428914262	56.306520425	75.187439849	102.503441184	54.933568696	70.659036180	56.650814182	40.587852091	47.538024121	40.823021580	47.421424643	28.287376276	18.508733947	20.054682820	30.649697215	32.157905857	22.976657017	19.235079486	15.932547210	12.955541695	12.801657090	13.010314478	15.789687851	17.574154577	11.100509589	13.355780347	12.695119559	12.673427223	14.393615307	12.508647514	12.151480768	12.413742792	11.783673005	11.841422758	12.687606297	10.462723635	11.080950986	13.109865974	12.242812775	11.519083858	13.260619910	12.620566028	13.550638287	11.688049668	13.209103075
22.787653932	12.660680404	11.660600154	18.932573075	22.842745240	40.239780056	72.443568424	122.993306872	191.937776902	279.174744162	222.219759052	163.138380561	184.984120531	182.569005911	207.243839937	597.416195805	167.509846236	218.775685130	262.144241850	181.699855462	271.701531691	159.074985177	244.646121464	337.136860229	252.744987461	263.610620408	208.179460994	154.610388141	183.072286601	541.053129825	127.149492863	139.018756092	166.020816512	188.454024080	145.612526864	214.359768152	226.899909184	138.691449927	230.943821933	208.809728285	175.211214530	163.320265093	275.433705932	131.602783121	193.702208182	131.372098186	157.474285539	156.357044141	146.089083103	158.455414180	124.965923032	143.951933616	250.020799943	251.462530092	136.888102574	80.604418757	105.526110513	71.994064710	65.187576278	112.628386450	76.348998657	57.975831781	65.073617984	42.775457893	43.533101303	49.291444132	46.924477255	36.677596167	20.929943269	18.164278408	32.160234873	45.775617655	18.272181760	23.055775586	15.466284609	14.551073410	11.992670320	11.349204573	13.281182100	15.814361840	13.375629882	12.510585417	11.684384814	13.084635141	12.318578398	12.555074631	12.669931796	13.335984585	12.352564859	13.088120143	13.199858432	11.987603024	12.110751547	12.823195524	11.577739002	10.770160799	12.122839285	13.869270589	13.122957754	11.920083214	12.432683385
56.155860843	17.041245272	12.004864334	19.278962209	15.829380687	23.793182964	41.743221793	86.854146869	163.181933542	250.064674261	214.606855963	152.076672249	176.470233562	173.917238822	195.648900902	568.245748516	164.960991716	218.212924466	253.251089321	176.361046112	265.923569942	159.790203363	245.527624811	329.789803886	251.366996178	258.954716996	207.710899516	160.235905635	188.224827955	548.745086170	131.263175770	138.375137532	167.671599120	187.731489693	153.289275291	201.762038806	241.018018523	134.629494945	236.576012514	199.588682854	174.000551201	171.430830649	263.160015653	129.672756732	209.242146468	122.580029929	154.666423720	173.222716452	134.704997170	167.092418630	142.139099604	130.196058840	263.695500090	245.947641632	153.298113215	79.800110757	104.346303773	86.989154671	62.106440890	109.007598197	82.300064435	83.267859734	57.215015335	55.534661121	39.083142404	46.923185671	59.846534376	36.229348001	24.272451858	20.664757976	30.175406402	51.291855537	25.070202442	19.245001975	18.780593896	15.614756036	14.474135762	11.704889766	14.325001102	13.542615118	13.227683704	13.123696664	11.236214899	13.703881335	11.922731027	12.155141906	11.941993641	11.266195974	12.038054140	10.461951264	13.328374078	12.395567797	11.995790507	13.475244793	12.964068447	11.837498200	11.417596733	10.653230174	10.532220885	11.604527156	12.082423163
76.010665785	44.111887126	13.305653086	13.949635237	19.156397776	16.188195600	25.036466333	58.112272909	124.245886870	219.220864597	205.768031354	147.418465395	172.076659860	171.233380525	192.092080981	548.884081799	167.045671793	223.234863864	255.596877006	182.909290319	262.431998696	163.936980994	249.978184705	328.044894686	257.537696368	264.236116289	214.073735055	173.324177789	194.603238940	562.685153725	136.912129529	141.204979953	172.229666669	196.333815918	164.344512190	193.996450035	269.815925843	132.813609805	246.965596099	191.846362141	171.221782752	177.866098768	278.517260768	120.760403906	215.520184435	129.875976581	153.096682993	173.669276721	151.463533632	159.027311993	147.794048622	147.122312545	249.284450523	253.444492957	159.025655449	91.800838446	100.515227752	94.032373536	82.657122494	84.620065916	90.320195847	100.488063515	68.097007454	57.922051417	52.084091873	38.983564265	62.662553056	46.067507557	30.087782345	22.767210163	29.353524387	55.228607541	29.793787909	22.648887858	15.415144069	15.394538583	15.108215706	13.175566612	12.453854217	17.791395037	13.271995275	12.700338021	12.557809756	12.779699021	13.119820767	12.827920937	12.704644025	11.560993282	11.569600536	12.087642910	11.799691830	11.057585723	14.654319872	13.950341222	12.941203479	12.469826208	11.660448559	10.917671709	12.428933335	11.485937823	11.477245825
83.684426462	64.664557916	31.619901673	17.625334727	12.989677331	17.638731487	18.034475962	30.735916542	79.765221150	170.735384781	180.577317445	145.470958954	164.363300482	162.195559729	179.888387394	526.152856770	161.853137071	219.445134994	245.062769943	176.897494715	255.987787745	157.466408475	246.032887676	321.451151543	251.163575015	260.347429875	210.560660661	170.030030324	190.476419177	553.857826905	138.587874978	140.294199899	171.055162406	199.058698008	165.932429962	190.485966502	273.028299122	124.429112106	250.223349725	197.839037471	156.869436800	176.307669554	287.269279227	111.952886916	213.097420695	134.928142118	150.202918303	173.876320551	160.530374419	162.326821785	144.885534757	160.150551329	258.234099416	253.223199944	153.362875613	91.912463296	108.285676697	86.846477805	87.958711044	117.576016245	65.955616390	101.860218640	86.558031564	50.933209384	53.175116646	47.933619926	50.142233051	48.851376334	30.000462959	28.168619262	31.750127654	42.820739806	30.908236619	23.692156568	14.946000445	16.682038366	14.718915199	13.877225001	12.658945015	15.339850394	14.157879628	12.868032586	14.221707693	12.384296834	11.535710913	12.206555616	11.955489842	11.921883791	10.786092804	11.805028033	11.223064275	12.555247605	11.689116928	12.554125243	11.028869371	12.446974400	11.175839742	11.334295859	11.883593648	12.351006993	12.078932323
81.722976258	69.951957540	55.054155157	30.098733152	14.209102219	14.106646474	16.761246790	20.866915963	45.884290131	112.637751355	145.305828298	129.358360590	168.478098867	156.095558340	172.383965073	496.086089283	164.484530297	220.255330253	242.673520341	180.458487630	254.306522079	161.590744747	248.522279147	316.740076180	257.144670007	262.484684498	218.100766953	181.910921424	204.039156472	567.966308575	148.805770973	146.018975867	174.169044496	205.348551925	189.449309337	173.173684928	312.831234555	124.320538784	249.124597442	194.934836043	158.142819992	169.365786380	295.803275298	114.286128165	201.128397354	136.817589985	159.529306386	158.319615355	164.781601405	181.333649732	134.010128895	160.627155962	296.161909036	251.136208163	168.362167047	90.685412501	119.853359898	94.878084451	87.888071035	135.121052723	81.270631569	90.498830284	94.034514940	72.271007222	45.181352862	56.847039136	55.475993534	44.576910044	37.842142880	27.833748863	43.898702266	53.225811123	24.338861971	30.086761745	19.484806306	13.949171801	16.120618581	14.680004266	15.470728307	14.871218219	13.364524124	12.460782925	14.245325301	15.848050576	13.819540404	12.929533181	12.638980908	9.976188823	12.150570507	12.732599535	11.798887124	12.052176131	11.738841682	11.317006957	12.785582158	10.719655316	10.968913834	13.759844960	12.641665918	12.024033173	11.572952619
83.711912793	72.726111354	65.597902005	66.435109222	22.295306840	12.448666311	16.115542407	15.807078711	27.762300941	65.936647740	101.855458589	110.412091272	159.013562728	159.206632774	162.421107189	469.077590877	165.308183266	222.530083995	240.770756471	183.679232920	252.907157477	169.901082035	252.554465373	311.100961234	260.280449174	263.436652344	225.687686233	198.710215890	219.117551589	579.131988149	155.675588609	154.887239532	180.641589448	206.911550664	211.062404243	162.007793802	351.510287649	118.857779372	268.520700818	187.396930863	157.733303555	176.086347907	303.668659808	113.727521255	212.818331025	129.805453108	158.563524854	166.543778635	160.493517601	191.745945132	150.917614491	146.421564827	307.387080523	299.959274003	161.988495663	101.291857541	117.612503201	106.562413068	89.263597838	141.192338190	101.582637405	89.802400364	93.952347152	82.146442283	62.667956144	51.570659578	72.762144670	40.979916244	37.778903578	35.563169008	47.225736649	74.207039743	28.884337443	29.244111900	23.028438720	18.576774899	12.891011668	15.289780042	15.324539639	18.127079470	13.187455778	14.219193175	12.530512255	16.160383034	11.408201905	13.392957595	12.985535854	10.424190010	13.522368300	11.789719028	11.928283170	11.742592765	12.696933536	11.682132606	12.192939669	10.767754894	13.514436725	10.309336751	12.568434889	10.884907538	11.204594115
83.883682693	73.645893136	70.831494450	83.175007780	57.388108964	14.736486705	14.959456993	18.151714725	19.557661445	37.820474387	64.311956725	87.552985400	145.284911311	152.332444464	158.704381818	443.591319217	163.719808382	225.994811776	237.346675655	189.237291849	251.750601295	176.503411133	257.922832990	308.654213212	267.073756506	267.371459535	232.635910965	210.885075457	230.498452196	588.423822640	166.645816878	161.588456871	186.065651496	213.996572001	230.431881738	154.899600915	387.847390585	118.269626470	282.717914701	186.767551472	155.116282221	184.543624636	302.703490451	108.301585558	217.742472298	134.785754050	159.060390031	166.583153622	175.359256063	194.273123112	155.119789163	165.538168567	287.846658638	317.562741117	191.953858881	96.782770401	122.997781043	112.286950230	97.146061020	133.853634824	107.637168302	128.199300334	76.414321864	86.653926220	77.710581290	60.869188271	72.843196753	57.053442960	34.323327462	36.943309013	59.229458784	85.413158686	33.410214370	27.910062991	25.121673608	19.692289421	18.137800252	14.293107755	18.940363612	21.604208344	13.741020943	13.932662736	11.839409452	13.217966805	14.037737738	14.376169254	14.642028203	13.805342254	12.760513590	11.930929164	12.287511111	12.177492071	11.828078219	12.906031790	11.611014450	12.522025040	12.949568067	12.869053005	12.798689958	11.017084987	12.761095390
82.882660150	71.591695106	72.188498342	89.111594434	87.159055233	38.851496598	14.341924839	14.396474737	19.720314604	23.454686594	34.073567172	59.072969771	114.106349472	138.562012883	154.617710055	418.213388092	160.240935702	221.136512525	230.422456993	185.712788733	250.185265495	174.990442452	255.752504258	301.905596992	263.770561456	263.517441395	237.744605351	222.229652805	239.371570129	592.258516105	177.202121370	166.624582262	188.137543442	220.857237128	242.927684089	150.924510865	420.609088289	112.858665524	291.019225128	189.392398757	149.140051799	189.494759129	321.315116421	100.455097763	218.697033183	138.565121619	147.913570177	162.308371860	185.133782913	202.626017654	155.492500063	176.952360193	295.049087510	320.253322080	209.680961116	103.575120350	121.289740337	108.581755262	106.173657541	149.014032286	101.053126842	141.014973057	110.127382626	68.182008350	79.146438245	78.075883187	68.809160771	62.133918582	39.664668908	32.014534262	64.834093631	98.069661388	45.108196527	32.803664491	21.267331613	24.525927324	18.715185861	14.165468755	20.280604757	21.948909915	17.375877276	13.503445127	12.358594114	15.559241627	11.955722184	13.661211032	11.618080650	12.924563568	12.948990835	13.415037545	12.292725943	11.370256254	10.966505479	12.927599479	11.866155930	11.105626929	10.552777412	11.092244083	13.017358264	12.523509206	12.289516761
