axis(cm-1),no excitation,,with_excitation,,diff
22156.5333,0,,364.23355,,364.23355
22164.59884,0,,372.31368,,372.31368
22172.66439,0,,383.9295,,383.9295
22180.72993,0,,398.99244,,398.99244
22188.79548,0,,417.35318,,417.35318
22196.86102,0,,438.76546,,438.76546
22204.92656,0,,462.89474,,462.89474
22212.99211,0,,489.29616,,489.29616
22221.05765,0,,517.41809,,517.41809
22229.1232,0,,546.6671,,546.6671
22237.18874,0,,576.19564,,576.19564
22245.25428,0,,605.21562,,605.21562
22253.31983,0,,632.85854,,632.85854
22261.38537,0,,658.23686,,658.23686
22269.45092,0,,680.51149,,680.51149
22277.51646,0,,698.92605,,698.92605
22285.582,0,,712.77276,,712.77276
22293.64755,0,,721.77026,,721.77026
22301.71309,0,,725.55841,,725.55841
22309.77864,0,,724.12456,,724.12456
22317.84418,0,,717.67351,,717.67351
22325.90972,0,,706.65184,,706.65184
22333.97527,0,,691.70365,,691.70365
22342.04081,0,,673.64951,,673.64951
22350.10636,0,,653.43337,,653.43337
22358.1719,0,,632.06075,,632.06075
22366.23744,0,,610.63128,,610.63128
22374.30299,0,,590.13202,,590.13202
22382.36853,0,,571.53235,,571.53235
22390.43408,0,,555.60695,,555.60695
22398.49962,0,,543.02305,,543.02305
22406.56516,0,,534.2485,,534.2485
22414.63071,0,,529.52031,,529.52031
22422.69625,0,,528.87921,,528.87921
22430.7618,0,,532.12359,,532.12359
22438.82734,0,,538.86462,,538.86462
22446.89288,0,,548.53848,,548.53848
22454.95843,0,,560.41947,,560.41947
22463.02397,0,,573.68058,,573.68058
22471.08952,0,,587.42789,,587.42789
22479.15506,0,,600.81471,,600.81471
22487.2206,0,,612.98195,,612.98195
22495.28615,0,,623.20292,,623.20292
22503.35169,0,,630.88798,,630.88798
22511.41724,0,,635.62751,,635.62751
22519.48278,0,,637.25545,,637.25545
22527.54832,0,,635.785,,635.785
22535.61387,0,,631.45777,,631.45777
22543.67941,0,,624.71838,,624.71838
22551.74496,0,,616.16769,,616.16769
22559.8105,0,,606.52325,,606.52325
22567.87604,0,,596.59332,,596.59332
22575.94159,0,,587.05515,,587.05515
22584.00713,0,,578.86922,,578.86922
22592.07268,0,,572.56188,,572.56188
22600.13822,0,,568.62159,,568.62159
22608.20376,0,,567.40688,,567.40688
22616.26931,0,,568.99824,,568.99824
22624.33485,0,,573.32713,,573.32713
22632.4004,0,,580.15911,,580.15911
22640.46594,0,,589.0207,,589.0207
22648.53148,0,,599.34155,,599.34155
22656.59703,0,,610.45541,,610.45541
22664.66257,0,,621.63594,,621.63594
22672.72812,0,,632.22658,,632.22658
22680.79366,0,,641.56101,,641.56101
22688.8592,0,,649.09522,,649.09522
22696.92475,0,,654.44508,,654.44508
22704.99029,0,,657.37337,,657.37337
22713.05584,0,,657.83574,,657.83574
22721.12138,0,,655.94605,,655.94605
22729.18692,0,,651.98891,,651.98891
22737.25247,0,,646.4288,,646.4288
22745.31801,0,,639.77204,,639.77204
22753.38356,0,,632.64429,,632.64429
22761.4491,0,,625.6684,,625.6684
22769.51464,0,,619.42662,,619.42662
22777.58019,0,,614.44642,,614.44642
22785.64573,0,,611.15869,,611.15869
22793.71128,0,,609.83756,,609.83756
22801.77682,0,,610.55217,,610.55217
22809.84236,0,,613.39789,,613.39789
22817.90791,0,,618.10375,,618.10375
22825.97345,0,,624.35042,,624.35042
22834.039,0,,631.70152,,631.70152
22842.10454,0,,639.64725,,639.64725
22850.17008,0,,647.63543,,647.63543
22858.23563,0,,655.13773,,655.13773
22866.30117,0,,661.65594,,661.65594
22874.36672,0,,666.75233,,666.75233
22882.43226,0,,670.11559,,670.11559
22890.4978,0,,671.55195,,671.55195
22898.56335,0,,670.99881,,670.99881
22906.62889,0,,668.51215,,668.51215
22914.69444,0,,664.26552,,664.26552
22922.75998,0,,658.54118,,658.54118
22930.82552,0,,651.67715,,651.67715
22938.89107,0,,644.07599,,644.07599
22946.95661,0,,636.1217,,636.1217
22955.02216,0,,628.18788,,628.18788
22963.0877,0,,620.67947,,620.67947
22971.15324,0,,613.85342,,613.85342
22979.21879,0,,607.91524,,607.91524
22987.28433,0,,603.0394,,603.0394
22995.34988,0,,599.25391,,599.25391
23003.41542,0,,596.60563,,596.60563
23011.48096,0,,594.98961,,594.98961
23019.54651,0,,594.26089,,594.26089
23027.61205,0,,594.33579,,594.33579
23035.6776,0,,595.003,,595.003
23043.74314,0,,596.08541,,596.08541
23051.80868,0,,597.42724,,597.42724
23059.87423,0,,598.88251,,598.88251
23067.93977,0,,600.33281,,600.33281
23076.00532,0,,601.71946,,601.71946
23084.07086,0,,602.99303,,602.99303
23092.1364,0,,604.15813,,604.15813
23100.20195,0,,605.25011,,605.25011
23108.26749,0,,606.34253,,606.34253
23116.33304,0,,607.52429,,607.52429
23124.39858,0,,608.89191,,608.89191
23132.46412,0,,610.54749,,610.54749
23140.52967,0,,612.55783,,612.55783
23148.59521,0,,615.01937,,615.01937
23156.66076,0,,617.92899,,617.92899
23164.7263,0,,621.26226,,621.26226
23172.79184,0,,624.9495,,624.9495
23180.85739,0,,628.84137,,628.84137
23188.92293,0,,632.81041,,632.81041
23196.98848,0,,636.60196,,636.60196
23205.05402,0,,639.99267,,639.99267
23213.11956,0,,642.72626,,642.72626
23221.18511,0,,644.5523,,644.5523
23229.25065,0,,645.26642,,645.26642
23237.3162,0,,644.69438,,644.69438
23245.38174,0,,642.72283,,642.72283
23253.44728,0,,639.32712,,639.32712
23261.51283,0,,634.55202,,634.55202
23269.57837,0,,628.49773,,628.49773
23277.64392,0,,621.35929,,621.35929
23285.70946,0,,613.34689,,613.34689
23293.775,0,,604.77148,,604.77148
23301.84055,0,,595.88652,,595.88652
23309.90609,0,,586.97101,,586.97101
23317.97164,0,,578.3077,,578.3077
23326.03718,0,,570.10337,,570.10337
23334.10272,0,,562.546,,562.546
23342.16827,0,,555.77451,,555.77451
23350.23381,0,,549.86323,,549.86323
23358.29936,0,,544.84035,,544.84035
23366.3649,0,,540.72445,,540.72445
23374.43044,0,,537.47736,,537.47736
23382.49599,0,,535.06405,,535.06405
23390.56153,0,,533.43109,,533.43109
23398.62708,0,,532.52744,,532.52744
23406.69262,0,,532.33862,,532.33862
23414.75816,0,,532.82352,,532.82352
23422.82371,0,,533.98567,,533.98567
23430.88925,0,,535.82396,,535.82396
23438.9548,0,,538.33658,,538.33658
23447.02034,0,,541.56334,,541.56334
23455.08588,0,,545.49424,,545.49424
23463.15143,0,,550.12773,,550.12773
23471.21697,0,,555.443,,555.443
23479.28252,0,,561.4004,,561.4004
23487.34806,0,,567.93049,,567.93049
23495.4136,0,,574.94447,,574.94447
23503.47915,0,,582.3261,,582.3261
23511.54469,0,,589.92116,,589.92116
23519.61024,0,,597.60008,,597.60008
23527.67578,0,,605.16085,,605.16085
23535.74132,0,,612.4447,,612.4447
23543.80687,0,,619.25477,,619.25477
23551.87241,0,,625.41852,,625.41852
23559.93796,0,,630.77444,,630.77444
23568.0035,0,,635.18338,,635.18338
23576.06904,0,,638.52491,,638.52491
23584.13459,0,,640.74112,,640.74112
23592.20013,0,,641.79163,,641.79163
23600.26568,0,,641.67784,,641.67784
23608.33122,0,,640.45419,,640.45419
23616.39676,0,,638.20819,,638.20819
23624.46231,0,,635.08235,,635.08235
23632.52785,0,,631.22011,,631.22011
23640.5934,0,,626.81241,,626.81241
23648.65894,0,,622.05549,,622.05549
23656.72448,0,,617.15766,,617.15766
23664.79003,0,,612.31965,,612.31965
23672.85557,0,,607.72705,,607.72705
23680.92112,0,,603.54071,,603.54071
23688.98666,0,,599.89236,,599.89236
23697.0522,0,,596.89487,,596.89487
23705.11775,0,,594.61429,,594.61429
23713.18329,0,,593.0834,,593.0834
23721.24884,0,,592.30111,,592.30111
23729.31438,0,,592.2279,,592.2279
23737.37992,0,,592.81782,,592.81782
23745.44547,0,,593.98353,,593.98353
23753.51101,0,,595.63066,,595.63066
23761.57656,0,,597.65148,,597.65148
23769.6421,0,,599.94354,,599.94354
23777.70764,0,,602.40757,,602.40757
23785.77319,0,,604.94625,,604.94625
23793.83873,0,,607.47901,,607.47901
23801.90428,0,,609.93013,,609.93013
23809.96982,0,,612.25903,,612.25903
23818.03536,0,,614.42732,,614.42732
23826.10091,0,,616.39384,,616.39384
23834.16645,0,,618.13652,,618.13652
23842.232,0,,619.64346,,619.64346
23850.29754,0,,620.87725,,620.87725
23858.36308,0,,621.81846,,621.81846
23866.42863,0,,622.42336,,622.42336
23874.49417,0,,622.67381,,622.67381
23882.55972,0,,622.51036,,622.51036
23890.62526,0,,621.8949,,621.8949
23898.6908,0,,620.78712,,620.78712
23906.75635,0,,619.14233,,619.14233
23914.82189,0,,616.96536,,616.96536
23922.88744,0,,614.2451,,614.2451
23930.95298,0,,611.00407,,611.00407
23939.01852,0,,607.28617,,607.28617
23947.08407,0,,603.17081,,603.17081
23955.14961,0,,598.74332,,598.74332
23963.21516,0,,594.11592,,594.11592
23971.2807,0,,589.39945,,589.39945
23979.34624,0,,584.72083,,584.72083
23987.41179,0,,580.20083,,580.20083
23995.47733,0,,575.94417,,575.94417
24003.54288,0,,572.05148,,572.05148
24011.60842,0,,568.58439,,568.58439
24019.67396,0,,565.58863,,565.58863
24027.73951,0,,563.09209,,563.09209
24035.80505,0,,561.09111,,561.09111
24043.8706,0,,559.5555,,559.5555
24051.93614,0,,558.42719,,558.42719
24060.00168,0,,557.63727,,557.63727
24068.06723,0,,557.10626,,557.10626
24076.13277,0,,556.73267,,556.73267
24084.19832,0,,556.41595,,556.41595
24092.26386,0,,556.06813,,556.06813
24100.3294,0,,555.58834,,555.58834
24108.39495,0,,554.91488,,554.91488
24116.46049,0,,553.97647,,553.97647
24124.52604,0,,552.73284,,552.73284
24132.59158,0,,551.16807,,551.16807
24140.65712,0,,549.28015,,549.28015
24148.72267,0,,547.09805,,547.09805
24156.78821,0,,544.661,,544.661
24164.85376,0,,542.03359,,542.03359
24172.9193,0,,539.28158,,539.28158
24180.98484,0,,536.47725,,536.47725
24189.05039,0,,533.69437,,533.69437
24197.11593,0,,530.98668,,530.98668
24205.18148,0,,528.43233,,528.43233
24213.24702,0,,526.05644,,526.05644
24221.31256,0,,523.87901,,523.87901
24229.37811,0,,521.90047,,521.90047
24237.44365,0,,520.09788,,520.09788
24245.5092,0,,518.44442,,518.44442
24253.57474,0,,516.8921,,516.8921
24261.64028,0,,515.3794,,515.3794
24269.70583,0,,513.84522,,513.84522
24277.77137,0,,512.22392,,512.22392
24285.83692,0,,510.46712,,510.46712
24293.90246,0,,508.52212,,508.52212
24301.968,0,,506.3539,,506.3539
24310.03355,0,,503.936,,503.936
24318.09909,0,,501.27548,,501.27548
24326.16464,0,,498.37297,,498.37297
24334.23018,0,,495.2713,,495.2713
24342.29572,0,,492.00202,,492.00202
24350.36127,0,,488.6177,,488.6177
24358.42681,0,,485.18718,,485.18718
24366.49236,0,,481.77131,,481.77131
24374.5579,0,,478.43297,,478.43297
24382.62344,0,,475.232,,475.232
24390.68899,0,,472.22474,,472.22474
24398.75453,0,,469.4435,,469.4435
24406.82008,0,,466.92363,,466.92363
24414.88562,0,,464.65871,,464.65871
24422.95116,0,,462.66424,,462.66424
24431.01671,0,,460.90914,,460.90914
24439.08225,0,,461.52975,,461.52975
24447.1478,0,,461.47844,,461.47844
24455.21334,0,,462.28194,,462.28194
24463.27888,0,,464.25199,,464.25199
24471.34443,0,,467.87669,,467.87669
24479.40997,0,,473.84732,,473.84732
24487.47552,0,,483.16113,,483.16113
24495.54106,0,,497.21488,,497.21488
24503.6066,0,,517.795,,517.795
24511.67215,0,,547.33095,,547.33095
24519.73769,0,,588.88549,,588.88549
24527.80324,0,,646.28079,,646.28079
24535.86878,0,,724.14186,,724.14186
24543.93432,0,,827.943,,827.943
24551.99987,0,,963.95952,,963.95952
24560.06541,0,,1139.1557,,1139.1557
24568.13096,0,,1360.9892,,1360.9892
24576.1965,0,,1637.1123,,1637.1123
24584.26204,0,,1974.9311,,1974.9311
24592.32759,0,,2381.0753,,2381.0753
24600.39313,0,,2860.7972,,2860.7972
24608.45868,0,,3417.2632,,3417.2632
24616.52422,0,,4050.8705,,4050.8705
24624.58976,0,,4758.6011,,4758.6011
24632.65531,0,,5533.4777,,5533.4777
24640.72085,0,,6364.2196,,6364.2196
24648.7864,1.48232,,7235.1767,,7233.69438
24656.85194,2.42553,,8126.753,,8124.32747
24664.91748,3.91426,,9015.1774,,9011.26314
24672.98303,6.22978,,9874.4709,,9868.24112
24681.04857,9.77856,,10677.001,,10667.22244
24689.11412,15.13759,,11395.088,,11379.95041
24697.17966,23.11095,,12002.566,,11979.45505
24705.2452,34.79832,,12476.389,,12441.59068
24713.31075,51.67471,,12798.101,,12746.42629
24721.37629,75.67932,,12955.062,,12879.38268
24729.44184,109.30895,,12941.329,,12832.02005
24737.50738,155.70894,,12758.088,,12602.37906
24745.57292,218.75136,,12413.596,,12194.84464
24753.63847,303.08701,,11922.666,,11619.57899
24761.70401,414.15531,,11305.727,,10891.57169
24769.76956,558.13402,,10587.521,,10029.38698
24777.8351,741.81073,,9795.6023,,9053.79157
24785.90064,972.36,,8958.7312,,7986.3712
24793.96619,1257.0149,,8105.2842,,6848.2693
24802.03173,1602.6294,,7261.8666,,5659.2372
24810.09728,2015.1396,,6452.0531,,4436.9135
24818.16282,2498.944,,5697.1971,,3198.2531
24826.22836,3056.2387,,5010.2959,,1954.0572
24834.29391,3686.3569,,4403.1119,,716.755
24842.35945,4385.1741,,3881.9212,,-503.2529
24850.425,5144.6482,,3448.6416,,-1696.0066
24858.49054,5952.5612,,3101.6267,,-2850.9345
24866.55608,6792.5302,,2836.1967,,-3956.3335
24874.62163,7647.4792,,2645.3693,,-5002.1099
24882.68717,8489.6176,,2521.3285,,-5968.2891
24890.75272,9295.5714,,2454.0311,,-6841.5403
24898.81826,10039.225,,2434.7404,,-7604.4846
24906.8838,10695.144,,2454.994,,-8240.15
24914.94935,11240.197,,2507.5383,,-8732.6587
24923.01489,11655.155,,2586.7556,,-9068.3994
24931.08044,11926.164,,2689.0511,,-9237.1129
24939.14598,12045.953,,2812.7489,,-9233.2041
24947.21152,12014.656,,2958.4264,,-9056.2296
24955.27707,11840.236,,3128.5111,,-8711.7249
24963.34261,11538.394,,3327.0897,,-8211.3043
24971.40816,11132.014,,3559.5542,,-7572.4598
24979.4737,10650.175,,3831.3703,,-6818.8047
24987.53924,10126.787,,4148.2366,,-5978.5504
24995.60479,9598.9483,,4514.8264,,-5084.1219
25003.67033,9105.1263,,4934.572,,-4170.5543
25011.73588,8683.2557,,5405.822,,-3277.4337
25019.80142,8368.8345,,5931.1706,,-2437.6639
25027.86696,8194.0835,,6502.5798,,-1691.5037
25035.93251,8183.1317,,7111.9171,,-1071.2146
25043.99805,8354.8014,,7747.335,,-607.4664
25052.0636,8719.0465,,8394.7515,,-324.295
25060.12914,9276.4952,,9037.862,,-238.6332
25068.19468,10018.319,,9659.1042,,-359.2148
25076.26023,10926.064,,10240.755,,-685.309
25084.32577,11972.169,,10765.764,,-1206.405
25092.39132,13120.916,,11218.917,,-1901.999
25100.45686,14333.042,,11589.479,,-2743.563
25108.5224,15557.128,,11865.933,,-3691.195
25116.58795,16745.963,,12044.269,,-4701.694
25124.65349,17850.862,,12123.761,,-5727.101
25132.71904,18826.391,,12107.858,,-6718.533
25140.78458,19633.181,,12003.962,,-7629.219
25148.85012,20240.35,,11823.426,,-8416.924
25156.91567,20627.68,,11579.269,,-9048.411
25164.98121,20787.036,,11287.569,,-9499.467
25173.04676,20722.846,,10965.448,,-9757.398
25181.1123,20452.118,,10630.537,,-9821.581
25189.17784,20003.415,,10300.661,,-9702.754
25197.24339,19414.506,,9992.1046,,-9422.4014
25205.30893,18730.64,,9720.5842,,-9010.0558
25213.37448,18001.454,,9500.1974,,-8501.2566
25221.44002,17274.626,,9343.309,,-7931.317
25229.50556,16604.783,,9260.1056,,-7344.6774
25237.57111,16031.85,,9260.1984,,-6771.6516
25245.63665,15592.389,,9350.0227,,-6242.3663
25253.7022,15315.721,,9534.7106,,-5781.0104
25261.76774,15216.103,,9817.7772,,-5398.3258
25269.83328,15300.887,,10200.141,,-5100.746
25277.89883,15565.583,,10680.694,,-4884.889
25285.96437,15995.228,,11255.932,,-4739.296
25294.02992,16566.283,,11919.241,,-4647.042
25302.09546,17247.871,,12660.965,,-4586.906
25310.161,18003.795,,13467.883,,-4535.912
25318.22655,18795.828,,14323.335,,-4472.493
25326.29209,19582.132,,15209.483,,-4372.649
25334.35764,20324.367,,16100.292,,-4224.075
25342.42318,20987.081,,16972.014,,-4015.067
25350.48872,21540.129,,17798.483,,-3741.646
25358.55427,21960.306,,18553.188,,-3407.118
25366.61981,22233.142,,19211.306,,-3021.836
25374.68536,22351.85,,19750.776,,-2601.074
25382.7509,22319.961,,20153.491,,-2166.47
25390.81644,22149.446,,20405.987,,-1743.459
25398.88199,21860.361,,20504.635,,-1355.726
25406.94753,21479.801,,20448.852,,-1030.949
25415.01308,21038.447,,20246.55,,-791.897
25423.07862,20570.593,,19912.643,,-657.95
25431.14416,20110.586,,19468.189,,-642.397
25439.20971,19691.188,,18939.294,,-751.894
25447.27525,19336.606,,18355.981,,-980.625
25455.3408,19077.349,,17749.578,,-1327.771
25463.40634,18923.513,,17154.057,,-1769.456
25471.47188,18883.632,,16600.043,,-2283.589
25479.53743,18955.419,,16117.318,,-2838.101
25487.60297,19131.42,,15729.349,,-3402.071
25495.66852,19396.519,,15456.187,,-3940.332
25503.73406,19730.829,,15311.347,,-4419.482
25511.7996,20110.43,,15301.252,,-4809.178
25519.86515,20510.085,,15425.463,,-5084.622
25527.93069,20904.507,,15676.686,,-5227.821
25535.99624,21270.237,,16040.146,,-5230.091
25544.06178,21587.617,,16496.394,,-5091.223
25552.12732,21839.849,,17019.784,,-4820.065
25560.19287,22016.377,,17581.881,,-4434.496
25568.25841,22111.704,,18152.331,,-3959.373
25576.32396,22125.368,,18700.176,,-3425.192
25584.3895,22062.593,,19197.184,,-2865.409
25592.45504,21931.507,,19617.67,,-2313.837
25600.52059,21743.316,,19941.176,,-1802.14
25608.58613,21515.647,,20153.462,,-1362.185
25616.65168,21262.755,,20248.483,,-1014.272
25624.71722,21001.128,,20226.797,,-774.331
25632.78276,20746.44,,20096.853,,-649.587
25640.84831,20512.493,,19874.187,,-638.306
25648.91385,20311.001,,19579.843,,-731.158
25656.9794,20150.919,,19239.154,,-911.765
25665.04494,20036.827,,18880.624,,-1156.203
25673.11048,19968.508,,18529.049,,-1439.459
25681.17603,19948.769,,18217.763,,-1731.006
25689.24157,19969.254,,17966.726,,-2002.528
25697.30712,20022.755,,17794.323,,-2228.432
25705.37266,20098.636,,17714.745,,-2383.891
25713.4382,20185.835,,17732.597,,-2453.238
25721.50375,20273.379,,17847.531,,-2425.848
25729.56929,20350.229,,18053.349,,-2296.88
25737.63484,20407.442,,18336.142,,-2071.3
25745.70038,20437.641,,18678.164,,-1759.477
25753.76592,20436.484,,19058.064,,-1378.42
25761.83147,20402.382,,19452.128,,-950.254
25769.89701,20337.017,,19838.325,,-498.692
25777.96256,20243.999,,20193.659,,-50.34
25786.0281,20129.285,,20498.831,,369.546
