w1_cm,intensity,sd
2492.32561847578,0.0437116730494817,0.0269025874997696
2500.04179686115,0.0686838994046957,0.0417223768302535
2507.75797524652,0.0741254157457347,0.0367180728790655
2515.4741536319,0.0688769744799231,0.0345538356422602
2523.19033201727,0.0527948160629289,0.0433046850042095
2530.90651040265,0.0692932437640553,0.0387782130019668
2538.62268878802,0.0962734104449162,0.0387934727524752
2546.33886717339,0.0760450477137944,0.0503672882781305
2554.05504555877,0.0923315852204499,0.0500512532932355
2561.77122394414,0.111672580199728,0.0548642885550859
2569.48740232952,0.119661627686536,0.054930880532421
2577.20358071489,0.138822210841606,0.0555484461200183
2584.91975910026,0.134968800768067,0.0647587992125388
2592.63593748564,0.13995408361961,0.0505363373353932
2600.35211587101,0.156508023418216,0.0460494073977801
2608.06829425638,0.172123787095936,0.0544259707817538
2615.78447264176,0.175823057267727,0.0680822414130409
2623.50065102713,0.192600782912068,0.0729600540940284
2631.21682941251,0.206119960618723,0.0620119538229454
2638.93300779788,0.196060944939593,0.0725268927449239
2646.64918618325,0.213738181113203,0.0805190144530094
2654.36536456863,0.204178007638806,0.0877729929393333
2662.081542954,0.174596062455465,0.0921582110831256
2669.79772133938,0.179659145839728,0.0656196157666776
2677.51389972475,0.2033007134005,0.0633380094626572
2685.23007811012,0.233540133581452,0.0817960208681281
2692.9462564955,0.250670510499608,0.0864067508323235
2700.66243488087,0.258414514545687,0.0849739156216886
2708.37861326625,0.242866300129417,0.0847749822026572
2716.09479165162,0.24643345533515,0.0774730468794345
2723.81097003699,0.258390230199624,0.0668734639890208
2731.52714842237,0.222523091604161,0.064635635255579
2739.24332680774,0.216235679869401,0.0581241068124153
2746.95950519312,0.210047799580015,0.0566889366925648
2754.67568357849,0.201043264042875,0.0698964275154518
2762.39186196386,0.242820196632674,0.0699036116738952
2770.10804034924,0.256042976022303,0.0778527669661712
2777.82421873461,0.238070083489249,0.0826442417183842
2785.54039711998,0.228303297241758,0.0668821971755488
2793.25657550536,0.216652561523266,0.0522929377428002
2800.97275389073,0.199921952758182,0.0447320126136635
2808.68893227611,0.198842851200805,0.0463885468770906
2816.40511066148,0.204841486511646,0.0522150035940953
2824.12128904685,0.20637050806318,0.0581433907508806
2831.83746743223,0.230365817769696,0.0590086334379081
2839.5536458176,0.226557073806664,0.0558040659834343
2847.26982420298,0.187774964863761,0.0495578180488195
2854.98600258835,0.165588917363695,0.0407321991303872
2862.70218097372,0.149244059013096,0.0438416809534705
2870.4183593591,0.130932434562488,0.0435522115611821
2878.13453774447,0.112430125936559,0.0388903443753979
2885.85071612985,0.0991735687652235,0.0386636943109709
2893.56689451522,0.0875538841900683,0.0354832410115748
2901.28307290059,0.0792413184974013,0.0343120612816446
2908.99925128597,0.066987129909342,0.0333790425937016
2916.71542967134,0.0555113994504268,0.0331034618683953
2924.43160805672,0.0546011497294746,0.033955072532618
2932.14778644209,0.0381361971122955,0.0275930567037171
2939.86396482746,0.034507297097117,0.0250537783144107
2947.58014321284,0.0457539372249905,0.0299191196623168
2955.29632159821,0.038134657221813,0.0274673557054978
2963.01249998359,0.0369949048281683,0.0288718129808793
2970.72867836896,0.0343038559464954,0.0268465260734034
2978.44485675433,0.0394580286622305,0.0273019404242982
2986.16103513971,0.0322954144314054,0.0265082229566395
2993.87721352508,0.0377334552290245,0.0280873156548181
3001.59339191045,0.0453653990272104,0.0398047831971169
3009.30957029583,0.0610256649993004,0.0475070522019881
3017.0257486812,0.0554587393217768,0.0498387022381812
3024.74192706658,0.0561323152654469,0.0528852989100552
3032.45810545195,0.0615256095950098,0.0534432206293644
3040.17428383732,0.0582284428580573,0.0503897999647681
3047.8904622227,0.0596921824477383,0.0491784796618971
3055.60664060807,0.060958821883731,0.0562184454080287
3063.32281899345,0.0742895564894054,0.0536319694993337
3071.03899737882,0.0781918739235904,0.0594031434427266
3078.75517576419,0.0958780317371751,0.0647563415237945
3086.47135414957,0.131607315405607,0.0510958162293073
3094.18753253494,0.120699400319384,0.0504193747605374
3101.90371092032,0.108251053856576,0.0578887110488021
3109.61988930569,0.101562237787151,0.0639442545349009
3117.33606769106,0.0980260523885913,0.0650272855376789
3125.05224607644,0.102736742727723,0.0581086268354781
3132.76842446181,0.10172284899238,0.0614815264410617
3140.48460284719,0.0975546617048272,0.064003645504852
3148.20078123256,0.094730502164358,0.0631291731977044
3155.91695961793,0.0921014881668426,0.0617706330814987
3163.63313800331,0.0775444371681356,0.0566894498523378
3171.34931638868,0.075611370373812,0.0523652338613139
3179.06549477405,0.0880002199954944,0.0465707481100788
3186.78167315943,0.0849208246556843,0.0520451267416943
3194.4978515448,0.0773738647099304,0.0481516119112359
